ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50
81,CHEMBL446861,455.53,Cc1nn(C)c2[nH]c(=O)c3c(c12)CSC3,IC50,=',1.3,nM,"9,886,056,648"
82,CHEMBL378794,486.48,NCCCCC(N)C(=O)NCc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,IC50,=',1.3,nM,"9,886,056,648"
83,CHEMBL3911149,298.32,CC(O)CSc1nnc(-c2cc3ccccc3[nH]2)n1-c1ccccc1,IC50,=',1.3,nM,"9,886,056,648"
84,CHEMBL250851,434.47,O=C1NCCn2c(-c3ccccc3)nc3cncc1c32,IC50,=',1.38,nM,"9,860,120,914"
85,CHEMBL3927023,292.34,COc1ccc(C(=O)C2CCN(C3CCN(Cc4nc5c(c(=O)[nH]4)CCC5)C3=O)CC2)cc1,IC50,=',1.4,nM,"9,853,871,964"
86,CHEMBL383442,551.41,N#Cc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,IC50,=',1.4,nM,"9,853,871,964"
87,CHEMBL3931879,434.47,O=C(c1cc(Oc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CCCCC2)CC1,IC50,=',1.4,nM,"9,853,871,964"
88,CHEMBL550041,298.32,O=C(c1cccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)c1)N1CCN2CCC[C@H]2C1,IC50,=',1.4,nM,"9,853,871,964"
89,CHEMBL3649724,412.44,O=c1[nH]c2ccc(OCCN3CCNCC3)cc2c2c1CCCN2,IC50,=',1.4,nM,"9,853,871,964"
90,CHEMBL3984540,451.5,Cc1cccc(CN2CCC(N3Cc4cccc(C(N)=O)c4C3=O)CC2)c1,IC50,=',1.4,nM,"9,853,871,964"
91,CHEMBL481881,292.34,COc1cccc(-c2cc3[nH]c(=O)c4ccccc4n3n2)c1OC,IC50,=',1.4,nM,"9,853,871,964"
92,CHEMBL3099681,244.3,C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34,IC50,=',"1,479",nM,"9,830,031,826"
93,CHEMBL3905389,244.3,CCCCN1CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,IC50,=',1.5,nM,"9,823,908,741"
94,CHEMBL4850338,706.81,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4ccsc4)CC3)c(O)cc(O)c12,IC50,=',1.5,nM,"9,823,908,741"
95,CHEMBL309636,434.47,O=C(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,IC50,=',1.6,nM,"9,795,880,017"
96,CHEMBL3617774,437.3,CCCCNCc1ccc(-c2[nH]c3cc(F)cc4c3c2C(=O)NNC4=O)cc1,IC50,=',1.6,nM,"9,795,880,017"
97,CHEMBL4214589,434.47,O=c1[nH]c2c(-c3nnc(COc4ccccc4)o3)cccc2c(=O)c2ccccc12,IC50,=',1.6,nM,"9,795,880,017"
98,CHEMBL124706,382.44,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4ccc(F)cc4)CC3)c(O)cc(O)c12,IC50,=',1.6,nM,"9,795,880,017"
99,CHEMBL4460350,569.6,O=c1[nH]nc2c3c(cccc13)N=C(c1ccc3c(c1)OCO3)N2,IC50,=',1.7,nM,"9,769,551,079"
100,CHEMBL4461392,395.43,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)cc1,IC50,=',1.7,nM,"9,769,551,079"
101,CHEMBL3649733,496.45,Cc1nn(-c2ccccc2)c2[nH]c(=O)c3c(c12)CCC3,IC50,=',1.7,nM,"9,769,551,079"
102,CHEMBL3593985,486.43,O=C(NCCc1cccs1)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,=',1.75,nM,"9,756,961,951"
103,CHEMBL3914932,434.47,CC1(C)CCc2[nH]c3cc(F)cc4c3c2C1=NNC4=O,IC50,=',1.8,nM,"9,744,727,495"
104,CHEMBL1935274,481.57,O=C(CCC(=O)N1CCC[C@H]1C(=O)O)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,IC50,=',1.8,nM,"9,744,727,495"
105,CHEMBL3944401,550.42,O=C(CN1CCC(C(=O)c2ccc(OCCC3CC3)cc2)CC1)NCc1nc2c(c(=O)[nH]1)COCC2,IC50,=',1.8,nM,"9,744,727,495"
106,CHEMBL4870649,368.41,CC(=O)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1,IC50,=',1.8,nM,"9,744,727,495"
107,CHEMBL4096060,457.55,Oc1nncc2ccccc12,IC50,=',1.8,nM,"9,744,727,495"
108,CHEMBL4748572,472.52,O=C1NN=C2CCCc3c2c2c1cccc2n3CCN(Cc1ccccc1)Cc1ccccc1,IC50,=',1.8,nM,"9,744,727,495"
109,CHEMBL3606001,517.54,NC(=O)c1cccc2c1C(=O)N(C1CCN(Cc3ccc(Br)cc3)CC1)C2,IC50,=',1.81,nM,"9,742,321,425"
110,CHEMBL3764995,379.37,CC(C)(C)OC(=O)N1CC[C@H](C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2Cl)C1,IC50,=',1.84,nM,"9,735,182,177"
111,CHEMBL493693,379.37,O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCN(C(=O)c2ccc[nH]2)CC1,IC50,=',1.87,nM,"9,728,158,393"
112,CHEMBL480227,579.63,O=C1NCCn2c(CN3CCCCC3)cc3cccc1c32,IC50,=',1.9,nM,"9,721,246,399"
113,CHEMBL1767048,334.42,O=C(c1csc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)c2ccccn2)CC1,IC50,=',1.9,nM,"9,721,246,399"
114,CHEMBL3237591,499.55,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,IC50,=',1.94,nM,"971,219,827"
115,CHEMBL2237229,434.47,O=C(Nc1cccc2c(=O)[nH]ccc12)c1ccccc1I,IC50,=',1.94,nM,"971,219,827"
116,CHEMBL1949841,410.52,O=C(/C=C/c1ccc(CCNC(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)cc1)NO,IC50,=',1.95,nM,"9,709,965,389"
117,CHEMBL363380,323.37,COc1ccc(C(=O)C2CCN(C3CCN(CC(=O)Nc4nnc5n4CCS5)C3=O)CC2)cc1,IC50,=',1.98,nM,"970,333,481"
118,CHEMBL1956162,599.68,Cc1cc(=O)[nH]c2cc(-c3ccccc3F)ccc12,IC50,=',1.98,nM,"970,333,481"
119,CHEMBL3617777,473.49,CC(C)NCc1ccc(-c2cc3c4c(c[nH]c4c2)C(=O)NNC3=O)cc1,IC50,=',2,nM,"9,698,970,004"
120,CHEMBL3933931,462.53,COc1ccc(C(=O)C2CCN(CC(=O)NCc3nc4c(c(=O)[nH]3)CCCC4)CC2)cc1,IC50,=',2,nM,"9,698,970,004"
121,CHEMBL523887,426.48,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCN(CCO)CC1,IC50,=',2,nM,"9,698,970,004"
122,CHEMBL1935276,434.52,O=C1CCC(c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)=NN1,IC50,=',2,nM,"9,698,970,004"
123,CHEMBL3606023,522.41,NC(=O)c1cc(Cl)cc2c1C(=O)N(C1CCN(C3CCC(F)(F)CC3)CC1)C2,IC50,=',2,nM,"9,698,970,004"
124,CHEMBL3911687,464.5,CC1(C)CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,IC50,=',2,nM,"9,698,970,004"
125,CHEMBL4170665,317.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccn2)CC1,IC50,=',2,nM,"9,698,970,004"
126,CHEMBL3394708,348.41,COc1ccc2c(c1)CCN1C(=O)c3ccccc3C21O,IC50,=',2,nM,"9,698,970,004"
127,CHEMBL4475367,424.48,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,IC50,=',2,nM,"9,698,970,004"
128,CHEMBL590579,316.31,C[C@@H]1CN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc4c(c(=O)[nH]3)CCCN4C)CC2)C[C@H](C)O1,IC50,=',2,nM,"9,698,970,004"
129,CHEMBL313782,348.41,Cc1c(-c2nc3c(C(N)=O)cc(F)cc3[nH]2)sc2c1CCNC2,IC50,=',2,nM,"9,698,970,004"
130,CHEMBL494928,443.48,O=C1NC(=O)c2cccc3cccc1c23,IC50,=',2,nM,"9,698,970,004"
131,CHEMBL560528,522.36,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1Cc2cccc3c2C(C1)NCC3,IC50,=',2,nM,"9,698,970,004"
132,CHEMBL2419700,424.48,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,IC50,=',2,nM,"9,698,970,004"
133,CHEMBL47508,440.52,O=C(NCCN1CCOCC1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,IC50,=',02.02,nM,"9,694,648,631"
